Name, Address, City, ST, Zip, latitude, longitude
Alta Reading Room, 10351 East Highway 210, Alta, UT, 84092, 40.591387084585, -111.63244298945
Bingham Creek Library, 4834 West 9000 South, West Jordan, UT, 84081, 40.588226812767, -112.00555721961
Columbus Library, 2530 South 500 East, South Salt Lake City, UT, 84106, 40.715473946727, -111.87808516931
Draper Library, 1136 East Pioneer Rd, Draper, UT, 84020, 40.522926534502, -111.8582327669
Herriman Library, 5380 West Herriman Main Street, Herriman, Utah 84096, 40.51417631407, -112.02707288132
Holladay Library, 2150 East Murray-Holladay Rd., Holladay, UT, 84117, 40.666679200886, -111.82904584753
Hunter Library, 4740 West 4100 South, West Valley City, UT, 84120, 40.682719583859, -112.00390480507
Kearns Library, 5350 South 4220 West, Kearns, UT, 84118, 40.653784824171, -111.99242290343
Magna Library, 2675 South 8950 West, Magna, UT, 84044, 40.711274307743, -112.10441831206
Millcreek Community Center, 2266 E. Evergreen Avenue, East Millcreek 84109, 40.696532759584, -111.82577464442
Riverton Library, 12877 South 1830 West, Riverton, UT, 84065, 40.517254775441, -111.94025759629
Sandy Library, 10100 South Petunia Way, Sandy, UT, 84092, 40.567437537015, -111.85160935837
Calvin S. Smith Library, 810 East 3300 South, Salt Lake City, UT, 84106, 40.699571823328, -111.86800630174
South Jordan Library, 10673 South Redwood Road, South Jordan UT, 84095, 40.557353076838, -111.93659449255
Taylorsville Library, 4870 South 2700 West, Taylorsville, UT, 84118, 40.663469426091, -111.95860887332
Ruth Vine Tyler Library, 8041 S. Wood Street, Midvale, UT, 84047, 40.605094690289, -111.89264326353
West Jordan Library, 8030 South 1825 West, West Jordan, UT, 84088, 40.603902947768, -111.94129797225
West Valley Library, 2880 West 3650 South, West Valley City, UT, 84119, 40.693381684944, -111.96149930252
Whitmore Library, 2197 East Fort Union Boulevard, Salt Lake City, UT, 84121, 40.624740927427, -111.82787392502
